c_accountid,d_observation_date,c_entity, n_account_balance ,d_acq_date,n_active_num,n_tel_notel,d_last_payment_date,n_pay_30,n_pay_60,n_pay_90,n_pay_180,n_pay_count_30,n_pay_count_60,n_pay_count_90,n_pay_count_180,c_type_of_portfolio_rap,d_last_sms_date,n_sms_count,d_rpc_date,n_deceased,n_bancrupcy_failed_lawsuits_etc,d_lawsuit_date,d_payment_order_date,d_title_day,d_execution_date,d_unsuccesfull_exe_date,d_maturity_date,n_in_dialler_obs_day,n_arrangement_active,d_inactivation_date,d_last_broken_date,c_subregion,gender,age,d_last_inbound_date,Target_Amount,Target
4187299,01/01/2022,Entity 3, 430.33 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,22/07/2019,19/10/2019,12/01/2020,21/01/2020,,13/11/2016,1,0,,,Subregion_28,M,49,,0,0
4187314,01/01/2022,Entity 3," 1,339.08 ",02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,21/07/2019,04/10/2019,03/12/2019,28/12/2019,,30/09/2016,1,0,,,Subregion_66,M,47,,0,0
4173274,01/01/2022,Entity 1," 1,055.79 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,03/06/2018,25/06/2018,21/12/2018,28/12/2018,31/12/2019,29/06/2015,1,0,,,Subregion_21,K,44,,0,0
4174763,01/01/2022,Entity 1," 5,738.80 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,03/06/2018,,,,,27/06/2015,1,0,,,Subregion_28,K,43,,0,0
4174845,01/01/2022,Entity 1," 3,045.21 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,28/04/2015,1,0,,,Subregion_65,M,34,,0,0
4174959,01/01/2022,Entity 1," 1,235.11 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,18/08/2018,07/12/2018,03/04/2021,31/12/2019,29/11/2015,1,0,,,Subregion_51,K,27,,0,0
4174991,01/01/2022,Entity 1, 454.68 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,15/07/2018,15/02/2019,13/06/2020,16/06/2020,08/01/2021,02/10/2015,1,0,,,Subregion_43,K,40,,0,0
4177781,01/01/2022,Entity 1," 3,395.83 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,27/12/2021,6,,0,0,16/07/2018,20/08/2018,29/09/2018,09/01/2021,12/05/2019,29/08/2015,1,0,,,Subregion_28,K,60,,0,0
4177823,01/01/2022,Entity 1," 3,813.83 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,18/12/2021,4,,0,0,16/07/2018,08/09/2018,02/11/2018,06/11/2018,03/04/2020,31/08/2015,1,0,,17/12/2021,Subregion_65,M,29,,0,0
4177849,01/01/2022,Entity 1," 3,920.97 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,27/03/2015,1,0,,,Subregion_5,K,28,,0,0
